uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal
0|29|26,51.13636364,15.73339679,38.76771362
0|29|27,19.56521739,20.08551914,33.44573265
0|29|28,14.55696203,13.73469818,32.81315956
0|29|3,24.6835443,27.88319987,39.87543477
0|29|4,52.08333333,28.37742142,27.61558845
0|29|5,68.42105263,28.16486972,63.03009883
0|29|6,38.31282953,33.00492611,83.49753695
0|29|7,15.21197007,19.59810875,7.044917258
0|29|8,23.58208955,17.69267201,31.8053044
0|29|9,50,25.44677545,65.06604507
0|2|1,55.30973451,24.38319917,48.04710793
0|2|2,100,18.41714685,42.04208137
0|2|3,70.63492063,19.70379576,57.7675936
0|2|4,63.92405063,37.10526316,62.89473684
0|30|1,67.90123457,28.125,54.8983564
0|30|2,35.76923077,32.90539387,45.82496489
0|32|1,52.67857143,20.97399829,32.83248082
0|32|10,31.25,21.18243243,50.41103604
0|32|11,43.98148148,53.34802878,34.86520726
0|32|12,28.37837838,46.71818101,36.08668621
0|32|13,42.04545455,95.10762105,2.300149572
0|32|14,30.12048193,42.49634642,48.01969863
0|32|15,87.85425101,12.65432099,64.25540123
0|32|16,41.66666667,14.01687956,61.73300639
0|32|17,29.59183673,59.63078351,31.34031552
0|32|18,30.65326633,17.01107011,39.56812901
0|32|19,30.37974684,20.69264647,28.02115308
0|32|2,38.0952381,23.07497467,38.72565575
0|32|20,19.16666667,23.50536787,24.65445353
0|32|3,69.12568306,37.63094279,32.37532456
0|32|4,28.78228782,40.69183574,14.05874876
0|32|5,29.36507937,21.52447936,31.67701863
0|32|7,93.72026641,91.2962259,1.833183373
0|32|8,58.11403509,18.12452254,48.7776929
0|32|9,55.42168675,20.96003135,52.45689655
0|33|1,24.56896552,28.45864142,45.43984521
0|33|10,19.56834532,35.75314428,25.25368377
0|33|11,12.59689922,37.7993445,19.03481837
0|33|12,53.31325301,40.60343148,20.92546338
0|33|13,32.62786596,37.88988095,20.71593915
0|33|14,18.02325581,30.41862126,16.60908419
0|33|15,48.12734082,35.30654991,31.32979309
0|33|16,45.48335975,21.92911255,28.2723064
0|33|17,18.65828092,35.85643839,40.67927239
0|33|18,28.39756592,34.22502537,29.33884298
0|33|19,41.2195122,29.35794735,57.71199206
0|33|2,18.24561404,29.63797896,40.02801828
0|33|20,15.2238806,28.65052998,40.53551653
0|33|21,20.33426184,31.82208342,33.55979253
0|33|22,19.9513382,40.84890543,21.73189744
0|33|23,17.02586207,27.59319559,23.39174708
0|33|24,14.95726496,38.82242354,28.72946088
0|33|25,14.95016611,34.83468226,23.10582966
0|33|26,52.64705882,43.99162203,22.23547371
0|33|27,27.29468599,44.74864216,24.33371226
0|33|28,19.28104575,44.05710855,14.20875421
0|33|29,59.89583333,43.07431747,43.57379011
0|33|3,53.43137255,25.33907818,44.77761149
0|33|30,45.4887218,36.87169312,36.73941799
0|33|31,18.98734177,39.23569075,16.14457224
0|33|32,39.47368421,40.30005568,26.70577344
0|33|33,18.47826087,44.86838333,19.79581049
0|33|34,17.15481172,37.8080634,24.18939784
0|33|35,32.60869565,43.99423026,10.52929827
0|33|36,35.29411765,35.53526277,34.19593885
0|33|37,44.27860697,44.51684819,20.96816963
0|33|38,22.30769231,35.41148652,21.08454
0|33|39,19.35483871,34.09752547,21.63811443
0|33|4,17.41573034,6.985556197,64.3670016
0|33|5,14.78599222,29.07896519,47.92387918
0|33|6,22.14765101,37.38633915,42.44720965
0|33|7,26.10062893,42.55189414,18.91346653
0|33|8,22.76422764,19.80830671,23.32268371
0|33|9,27.51842752,14.63811331,44.21026475
0|34|1,19.71830986,14.71620994,44.64353253
0|35|1,58,40.20846313,21.85676127
0|36|1,35.05535055,35.76223072,32.53211366
0|36|10,35.40540541,44.67134309,28.85612319
0|36|11,14.29924242,22.35850031,35.96364388
0|36|12,40.50056883,54.86809544,28.60648083
0|36|13,23.79912664,51.31276467,12.48033878
0|36|14,36.77325581,47.54329819,17.82621558
0|36|15,31.93116635,28.87488031,41.70802745
0|36|16,52.80487805,42.31588873,13.94153701
0|36|17,43.46153846,16.34380889,15.82965649
0|36|2,33.43283582,28.19376507,14.91143721
0|36|3,36.22589532,24.4691358,18.84197531
0|36|4,39.89501312,16.99286629,13.35208219
0|36|5,63.8483965,21.35676426,46.29760019
0|36|6,100,43.55565432,20.98590124
0|36|7,27.22513089,21.00891862,39.01337793
0|36|8,22.30215827,13.31585082,48.41928904
0|36|9,16.96428571,30.96296296,44.85925926
0|3|1,30,22.65027322,40.69356873
0|3|10,16.7115903,16.65606615,37.60534266
0|3|11,23.7388724,15.75748645,22.08155829
0|3|12,24.21524664,21.74559489,15.54363987
0|3|13,29.91803279,30.52847234,16.56793293
0|3|2,44.84304933,17.70630279,19.03021442
0|3|3,21.71945701,24.83974359,18.72086247
0|3|4,30.72916667,20.50423223,31.30965363
0|3|5,39.1509434,15.21830144,53.24760766
0|3|6,34.25414365,13.27168367,35.9119898
0|3|7,12.85140562,52.0160657,31.45965625
0|3|8,58.65384615,17.91762014,33.79208892
0|3|9,41.86046512,16.51224907,42.79975794
0|4|1,43.31550802,17.16568845,37.39292513
0|5|1,24.01129944,29.57502943,30.16966351
0|5|2,41.94756554,24.84265071,44.08163626
