uni_const_code,n_indnota_pre,n_indnota_post
1|10|176,9,3
1|10|177,6,7
1|10|178,4,7
1|10|179,7,7
1|10|18,3,4
1|10|180,2,7
1|10|181,5,8
1|10|182,4,6
1|10|183,5,12
1|10|184,4,3
1|10|185,6,4
1|10|186,7,5
1|10|187,8,4
1|10|188,2,6
1|10|189,5,9
1|10|19,6,3
1|10|190,3,6
1|10|191,5,6
1|10|192,11,3
1|10|193,5,4
1|10|194,7,4
1|10|195,5,2
1|10|196,2,6
1|10|197,3,11
1|10|198,3,7
1|10|199,11,5
1|10|2,6,4
1|10|20,6,6
1|10|200,12,16
1|10|201,4,11
1|10|202,4,5
1|10|203,8,6
1|10|204,1,7
1|10|205,8,8
1|10|206,7,7
1|10|207,1,3
1|10|208,15,8
1|10|209,6,8
1|10|21,2,5
1|10|210,4,9
1|10|211,10,6
1|10|212,7,7
1|10|213,2,6
1|10|214,9,4
1|10|215,4,9
1|10|216,6,5
1|10|217,2,2
1|10|218,3,1
1|10|219,5,12
1|10|22,10,5
1|10|220,4,6
1|10|221,8,8
1|10|222,3,3
1|10|223,6,11
1|10|224,5,6
1|10|225,7,2
1|10|226,10,5
1|10|227,3,1
1|10|228,4,2
1|10|229,3,3
1|10|23,10,8
1|10|230,9,7
1|10|231,4,4
1|10|232,4,2
1|10|233,7,8
1|10|234,11,2
1|10|235,1,1
1|10|236,5,3
1|10|237,4,7
1|10|238,5,6
1|10|239,5,2
1|10|24,4,3
1|10|240,3,2
1|10|241,4,10
1|10|242,5,6
1|10|243,2,6
1|10|25,6,4
1|10|26,4,11
1|10|27,7,11
1|10|28,1,6
1|10|29,4,6
1|10|3,5,7
1|10|30,3,8
1|10|31,3,7
1|10|32,8,7
1|10|33,7,5
1|10|34,2,5
1|10|35,4,5
1|10|36,7,5
1|10|37,1,4
1|10|38,3,9
1|10|39,8,3
1|10|4,5,8
1|10|40,7,7
1|10|41,3,3
1|10|42,4,4
1|10|43,1,2
1|10|44,4,2
1|10|45,9,4
1|10|46,6,3
1|10|47,,2
1|10|48,4,5
1|10|49,8,6
1|10|5,2,4
1|10|50,7,6
1|10|51,6,3
1|10|52,11,6
1|10|53,4,3
1|10|54,3,7
1|10|55,6,2
1|10|56,1,4
1|10|57,2,3
1|10|58,1,6
1|10|59,2,5
1|10|6,7,7
1|10|60,6,11
1|10|61,9,13
1|10|62,5,11
1|10|63,3,12
1|10|64,15,8
1|10|65,5,4
1|10|66,8,9
1|10|67,7,8
1|10|68,2,6
1|10|69,5,5
1|10|7,7,5
1|10|70,6,7
1|10|71,6,7
1|10|72,,4
1|10|73,,6
1|10|74,9,2
1|10|75,8,4
1|10|76,4,6
1|10|77,8,9
1|10|78,3,4
1|10|79,5,8
1|10|8,8,5
1|10|80,4,8
1|10|81,2,6
1|10|82,8,5
1|10|83,3,6
1|10|84,8,7
1|10|85,11,5
1|10|86,4,3
1|10|87,5,2
1|10|88,6,8
1|10|89,4,5
1|10|9,7,6
1|10|90,5,6
1|10|91,2,5
1|10|92,2,3
1|10|93,8,12
1|10|94,7,6
1|10|95,10,9
1|10|96,3,3
1|10|97,6,6
1|10|98,7,5
1|10|99,3,4
1|11|1,,1
1|11|10,1,1
1|11|11,1,1
1|11|12,1,1
1|11|13,2,1
1|11|14,2,1
1|11|15,1,1
1|11|16,2,1
1|11|17,,1
1|11|18,1,1
1|11|19,2,3
1|11|2,,1
1|11|20,2,1
1|11|21,1,2
1|11|22,1,1
1|11|23,,1
1|11|24,1,1
1|11|25,1,1
1|11|26,1,3
1|11|27,1,1
1|11|28,1,1
1|11|29,,1
1|11|3,1,1
1|11|30,1,1
1|11|31,,1
1|11|32,,1
1|11|4,,1
1|11|5,,1
1|11|6,,1
1|11|7,,1
1|11|8,,1
1|11|9,1,1
1|12|1,,2
1|12|10,,1
1|12|11,,1
1|12|12,,1
1|12|13,,2
1|12|14,,1
1|12|15,,1
1|12|16,,1
1|12|17,,1
1|12|18,,1
1|12|19,,1
1|12|2,,2
1|12|20,,1
1|12|21,,1
1|12|22,,1
1|12|23,,1
1|12|24,,1
1|12|25,,1
1|12|26,,2
1|12|27,,1
1|12|28,,2
1|12|29,,1
1|12|3,,1
1|12|30,,1
1|12|31,,1
1|12|32,,1
1|12|33,,1
1|12|34,,1
1|12|35,,2
1|12|36,,1
1|12|37,,1
1|12|38,,1
1|12|39,,1
1|12|4,,1
1|12|40,,2
1|12|41,,1
1|12|42,,1
1|12|43,,1
1|12|44,,1
1|12|45,,1
1|12|46,,3
1|12|47,1,1
1|12|48,1,2
1|12|49,,1
1|12|5,,1
1|12|50,,1
1|12|51,1,1
1|12|52,,1
1|12|53,,1
1|12|54,,1
1|12|55,,1
1|12|56,,1
1|12|57,,4
1|12|58,,2
1|12|59,,1
1|12|6,,1
1|12|60,,2
1|12|7,,1
1|12|8,,2
1|12|9,,1
1|13|1,2,1
1|13|10,,1
1|13|12,1,1
1|13|13,,2
1|13|14,,1
1|13|15,,1
1|13|16,1,1
1|13|17,1,2
1|13|18,1,1
1|13|19,1,1
1|13|2,1,1
1|13|20,1,1
1|13|21,1,2
1|13|22,,2
1|13|23,,1
1|13|24,2,2
1|13|25,,1
1|13|26,,1
1|13|27,1,2
1|13|28,1,1
1|13|29,2,1
1|13|3,,1
1|13|30,1,1
1|13|31,,1
1|13|32,1,1
1|13|33,,1
1|13|34,,1
1|13|35,2,1
1|13|36,,1
1|13|37,,1
1|13|38,,1
1|13|39,2,2
1|13|4,1,2
1|13|40,2,1
1|13|41,,2
1|13|42,1,1
1|13|43,1,1
1|13|44,,1
1|13|45,,1
1|13|46,1,1
1|13|47,,1
1|13|48,,1
1|13|49,1,2
1|13|5,2,1
1|13|50,,1
1|13|51,,1
1|13|52,1,1
1|13|53,1,1
1|13|54,1,1
1|13|55,,1
1|13|56,,1
1|13|57,1,1
1|13|58,1,1
1|13|59,,1
1|13|6,1,2
1|13|60,,1
1|13|7,,1
1|13|8,1,1
1|13|9,1,1
1|14|1,,1
1|14|10,1,1
1|14|11,1,2
1|14|12,,1
1|14|13,,1
1|14|14,2,2
1|14|15,,1
1|14|16,,1
1|14|17,,1
1|14|18,,2
1|14|19,,1
1|14|2,,2
1|14|20,,1
1|14|21,,1
1|14|22,,1
1|14|23,,1
1|14|24,2,1
1|14|25,,1
1|14|26,1,1
1|14|27,,2
1|14|28,,1
1|14|29,,1
1|14|3,,1
1|14|30,2,3
1|14|31,,2
1|14|32,,1
1|14|33,,1
1|14|34,,1
1|14|35,,1
1|14|36,,1
1|14|37,,1
1|14|38,,1
1|14|39,,1
1|14|4,1,1
1|14|40,1,2
1|14|41,2,2
1|14|42,,1
1|14|43,,2
1|14|44,,1
1|14|45,2,1
1|14|46,,2
1|14|47,,3
1|14|48,,2
1|14|49,,1
1|14|5,,1
1|14|50,1,2
1|14|51,,1
1|14|52,,1
1|14|53,,1
1|14|54,,1
1|14|55,2,3
1|14|56,,2
1|14|57,,1
1|14|58,1,3
1|14|59,,1
1|14|6,2,3
1|14|60,1,1
1|14|7,,1
1|14|8,,1
1|14|9,,1
1|15|1,,2.5
1|15|10,1,2
1|15|11,,2
1|15|12,1,2
1|15|13,2,2
1|15|14,,1.5
1|15|15,,2
1|15|16,,2
1|15|17,,1.5
1|15|18,1,2
1|15|19,,2
1|15|2,,2
1|15|20,1,2
1|15|21,1,2
1|15|22,,2
1|15|23,2,1.5
1|15|24,1,2.5
1|15|25,1,2
1|15|26,,2.5
1|15|27,2,2
1|15|28,,2.5
1|15|29,1,1.5
1|15|3,3,2
1|15|30,,2
1|15|31,1,1.5
1|15|32,,1.5
1|15|33,1,1.5
1|15|34,2,1.5
1|15|35,,1.5
1|15|36,,1
1|15|37,2,1.5
1|15|38,2,2
1|15|39,1,1.5
1|15|4,2,2
1|15|40,2,1.5
1|15|5,1,1.5
1|15|6,1,1.5
1|15|7,,2
1|15|8,1,1.5
1|15|9,,2
1|16|1,,2
1|16|10,,1
1|16|11,,1
1|16|12,,1
1|16|13,1,1
1|16|14,,1
1|16|15,1,1
1|16|16,1,1
1|16|17,,1
1|16|18,1,1
1|16|2,,1
1|16|20,,1
1|16|21,,1
1|16|22,,1
1|16|23,,1
1|16|24,2,2
1|16|25,1,1
1|16|26,1,2
1|16|27,,1
1|16|28,,1
