uni_const_code,pre_ind_nota,post_ind_nota,nota_percoftotal,pre-post,post-pre,nota_vote_percentage,gen_state,state_id,n_indnota_pre,n_indnota_post,post-pre_ncand_nota,post-pre_ncand
0|23|21,38.11320755,30.65149137,43.36734694,7.46171618,-7.46171618,0.775,0,23,4,3.5,-0.5,-1.5
0|23|22,47.4789916,20.66363417,54.89366189,26.81535743,-26.81535743,1.01,0,23,5,4.5,-0.5,-1.5
0|23|23,33.25415677,23.33003813,28.46820129,9.92411864,-9.92411864,0.715,0,23,7,7,0,-1
0|23|24,77.41935484,23.19004525,64.02714932,54.22930959,-54.22930959,2.665,0,23,2,3,1,0
0|23|25,41.40271493,29.5,70.5,11.90271493,-11.90271493,1.38,0,23,5,2,-3,-4
0|23|26,21.42857143,14.17821782,21.47194719,7.25035361,-7.25035361,0.38,0,23,9,13.5,4.5,3.5
0|23|27,39.15966387,23.07969059,50.43622954,16.07997328,-16.07997328,1.605,0,23,6,3.5,-2.5,-3.5
0|23|28,59.59183673,25.71665713,45.90162791,33.8751796,-33.8751796,1.225,0,23,5,4.5,-0.5,-1.5
0|23|29,38.89875666,26.65445665,55.26862027,12.24430001,-12.24430001,2.115,0,23,7,3,-4,-5
0|23|3,18.92655367,24.26982228,20.73195054,-5.34326861,5.34326861,0.44,0,23,13,6.5,-6.5,-7.5
0|23|4,23.47266881,19.05979161,40.46523517,4.4128772,-4.4128772,1.165,0,23,12,7.5,-4.5,-5.5
0|23|5,70.6959707,20.18502331,46.93327506,50.51094739,-50.51094739,0.955,0,23,3,5,2,1
0|23|6,20.83897158,18.22573301,28.96002851,2.61323857,-2.61323857,1.14,0,23,10,6.5,-3.5,-4.5
0|23|7,15.87516961,27.4336386,26.94202966,-11.55846899,11.55846899,1.02,0,23,13,6,-7,-8
0|23|8,23.21167883,25.22489772,17.03052478,-2.01321889,2.01321889,0.86,0,23,8,7.5,-0.5,-1.5
0|23|9,24.18772563,22.73334107,24.30732915,1.45438456,-1.45438456,0.835,0,23,9,7.5,-1.5,-2.5
0|24|1,32.67670915,18.12297735,79.61165049,14.5537318,-14.5537318,1.805,0,24,9,2.5,-6.5,-7.5
0|24|10,24.27745665,15.43842878,57.35018436,8.83902787,-8.83902787,1.63,0,24,16,8,-8,-9
0|24|11,59.01639344,17.00883196,32.45758161,42.00756148,-42.00756148,1.43,0,24,3,11.5,8.5,7.5
0|24|12,25.64935065,18.90487257,14.48155657,6.74447808,-6.74447808,0.77,0,24,14,23,9,8
0|24|13,47.22222222,19.87601492,55.5540926,27.3462073,-27.3462073,1.68,0,24,7,6,-1,-2
0|24|14,38.65771812,17.00867487,41.93054778,21.64904325,-21.64904325,2.15,0,24,8,8.5,0.5,-0.5
0|24|15,39.08730159,18.46126761,36.39084507,20.62603398,-20.62603398,1.31,0,24,7,9,2,1
0|24|16,50,20.03924867,52.19792543,29.96075133,-29.96075133,1.7,0,24,9,7,-2,-3
0|24|17,61.4973262,18.26697892,74.94145199,43.23034728,-43.23034728,1.895,0,24,5,5.5,0.5,-0.5
0|24|2,36.55172414,35.95835077,22.96936269,0.59337337,-0.59337337,1.555,0,24,9,10.5,1.5,0.5
0|24|20,51.1627907,16.14349776,81.16591928,35.01929294,-35.01929294,1.47,0,24,4,3,-1,-2
0|24|21,100,15.63876652,79.40528634,84.36123348,-84.36123348,2.645,0,24,1,3,2,1
0|24|22,54.36046512,23.73693147,28.8136535,30.62353365,-30.62353365,1.39,0,24,5,9,4,3
0|24|23,53.37837838,21.83674866,52.8890149,31.54162972,-31.54162972,1.68,0,24,5,4.5,-0.5,-1.5
0|24|24,39.41176471,15.58229814,66.68284161,23.82946657,-23.82946657,1.07,0,24,6,5,-1,-2
0|24|25,51.21212121,17.6162308,24.02708593,33.59589041,-33.59589041,0.745,0,24,8,12.5,4.5,3.5
0|24|26,100,26.70030915,60.88834334,73.29969085,-73.29969085,1.95,0,24,1,3,2,1
0|24|3,26.40364188,20.95194805,37.41688312,5.45169383,-5.45169383,1.265,0,24,9,8,-1,-2
0|24|4,41.92771084,19.42989214,40.87313816,22.4978187,-22.4978187,1.14,0,24,6,6.5,0.5,-0.5
0|24|5,58.77061469,24.56497334,29.19730564,34.20564135,-34.20564135,1.27,0,24,6,8.5,2.5,1.5
0|24|6,26.59090909,23.96548436,34.82694508,2.62542473,-2.62542473,1.12,0,24,11,9.5,-1.5,-2.5
0|24|7,36.3372093,18.98696251,46.61349097,17.35024679,-17.35024679,1.135,0,24,7,8.5,1.5,0.5
0|24|8,45.45454545,10.10869565,77.60869565,35.3458498,-35.3458498,1.6,0,24,7,4.5,-2.5,-3.5
0|24|9,24.00932401,19.95152099,15.45675789,4.05780302,-4.05780302,0.995,0,24,13,19,6,5
0|25|1,38.25136612,93.05839118,53.47080441,-54.80702506,54.80702506,1.605,0,25,3,1.5,-1.5,-2.5
0|26|1,80.27950311,55.5534198,27.25930602,24.72608331,-24.72608331,1.635,0,26,2,4.5,2.5,1.5
0|27|1,77.00934579,23.76187903,45.86498427,53.24746676,-53.24746676,1.805,0,27,2,5,3,2
0|27|10,16.37168142,11.78571429,30.83333333,4.58596713,-4.58596713,0.355,0,27,14,18,4,3
0|27|11,82.87253142,24.12829042,16.1254803,58.744241,-58.744241,0.595,0,27,12,12,0,-1
